supplier_id,supplier_name,supplier_address,supplier_contact,date_added,last_update
1,"Hegmann, Ledner and Vandervort",23 Kim Drive,+51 266 321 3689,10/11/2025,10/11/2025
2,Price-Turcotte,742 Towne Place,+380 680 572 5977,1/17/2025,1/17/2025
3,"Moen, Rath and Emmerich",02 Hoepker Pass,+370 740 951 5041,1/10/2026,1/10/2026
4,Schinner Group,73 Weeping Birch Way,+374 389 724 1567,3/10/2026,3/10/2026
5,Dare-Zieme,231 Warner Terrace,+86 308 280 6081,4/14/2026,4/14/2026
6,Wiza-Brown,2 Corry Parkway,+86 103 628 4811,3/19/2026,3/19/2026
7,Labadie and Sons,5 Milwaukee Point,+238 498 306 7278,7/11/2025,7/11/2025
8,"Prosacco, Ferry and Runolfsdottir",3 Sunfield Trail,+92 131 124 9862,3/15/2025,3/15/2025
9,Lang-McCullough,81037 Grim Pass,+502 161 551 7337,4/29/2025,4/29/2025
10,Kovacek-Koelpin,3698 Eastlawn Road,+234 641 310 4815,6/27/2025,6/27/2025
11,Monahan Inc,80010 Fair Oaks Circle,+62 112 511 9678,1/17/2025,1/17/2025
12,"Corwin, Kulas and Kirlin",84866 Northfield Lane,+30 562 707 5800,7/20/2025,7/20/2025
13,Lang-Larson,955 Alpine Place,+86 244 750 1350,9/26/2025,9/26/2025
14,"Kuhn, Schultz and Kirlin",11 Banding Pass,+86 463 616 2836,4/9/2025,4/9/2025
15,Keeling Group,9 Warner Avenue,+81 907 726 3754,10/3/2025,10/3/2025
16,Gislason LLC,428 Rutledge Way,+63 298 870 8705,9/13/2025,9/13/2025
17,Anderson-Rempel,1485 Rutledge Parkway,+212 227 911 5599,12/29/2025,12/29/2025
18,Connelly-Schoen,5 Loftsgordon Junction,+86 541 404 4708,3/2/2025,3/2/2025
19,"Steuber, Sipes and Botsford",8712 Basil Center,+358 745 362 5610,4/3/2025,4/3/2025
20,McCullough and Sons,8444 Vidon Hill,+63 588 113 1466,6/29/2025,6/29/2025
